REPORTER	NOM	PRENOM	ALIAS	DATE_PUBL	DATE_REP	JOURNAL	LIEU	PAYS	LATITUDE	LONGITUDE	TITRE	QUALIFICATION	GENRE	URL	SAISIE_NOM	SAISIE_DATE	VERIFICATION	REMARQUES
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-15	1925-04	L’intransigeant	Varsovie	Pologne	52.2296756	21.012228700000037	En Pologne Un pays où les socialistes forment le parti nationaliste	Par TITAYNA / De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/15-avril-1925/44/922631/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-17	1925-04	L’intransigeant	Varsovie	Pologne	52.2296756	21.012228700000037	« L’INTRANSIGEANT » EN POLOGNE Entre le néant russe et l'hostilité allemande	Par TITAYNA / De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/17-avril-1925/44/906639/2	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-19	1925-04	L’intransigeant	Varsovie	Pologne	52.2296756	21.012228700000037	« L’INTRANSIGEANT » EN POLOGNE La question des minorités. Ukrainiens, Juifs, Blancs-Ruthènes, Allemands, Lituaniens forment un tiers de la population polonaise	Aucune	Reportage	https://www.retronews.fr/journal/l-intransigeant/19-avril-1925/44/922571/2	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-21	1925-04	L’intransigeant	Varsovie	Pologne	52.2296756	21.012228700000037	« L’INTRANSIGEANT » EN POLOGNE La question juive. Elle dépasse les frontières polonaises et peut-être les possibilités actuelles de l'humanité	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/21-avril-1925/44/922505/2	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-22	1925-04	L’intransigeant	Dantzig (auj. Gdansk)	Pologne	54.3520	18.6466	« L’INTRANSIGEANT » EN POLOGNE En survolant « le couloir » De Varsovie à Dantzig	Par TITAYNA / De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/22-avril-1925/44/906643/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-24	1925-04	L’intransigeant	Dantzig (auj. Gdansk)	Pologne	54.3520	18.6466	« L’INTRANSIGEANT » EN POLOGNE Une heure avec M. Sahm … président du Sénat à Dantzig	Par TITAYNA / De notre envoyé spécial	Interview	https://www.retronews.fr/journal/l-intransigeant/24-avril-1925/44/906769/1	Gilles Bastin	2023-11-19	Gilles Bastin	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-25	1925-04	L’intransigeant	Dantzig (auj. Gdansk)	Pologne	54.3520	18.6466	« L’INTRANSIGEANT » EN POLOGNE Quand j'écoutais la Pologne parler de Dantzig. Un entretien avec M. Stanislas Zalewski, conseiller de légation polonais de la ville	De notre envoyé spécial	Interview	https://www.retronews.fr/journal/l-intransigeant/25-avril-1925/44/906647/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-04-28	1925-04	L’intransigeant	Wilejka (auj. Vileyka)	Pologne	54.4985833	26.917882	« L’INTRANSIGEANT » EN POLOGNE Dans le steppe avec les loups. Une journée à la frontière russe	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/28-avril-1925/44/922731/2	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-01	n.i.	L’intransigeant	n.i.	Pologne	52.215933	19.134422	LA POLOGNE Vue d'ensemble en manière de conclusion	Par TITAYNA	Analyse	https://www.retronews.fr/journal/l-intransigeant/01-mai-1925/44/922681/1	Mathilde Carnet	2018-01-11	GB	
Elisabeth Sauvy	Sauvy	Élisabeth	Titayna	1925-05-02	1925-04	L’intransigeant	Sofia	Bulgarie	42.697708	23.321868	AU PAYS DE L’ETAT DE SIEGE Un dimanche à Sofia	De notre envoyé spécial	Reportage	https://www.retronews.fr/journal/l-intransigeant/02-mai-1925/44/906859/1	Mathilde Carnet	2018-01-11	GB	
